mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,mean_test_score,std_test_score,split0_train_score,mean_train_score,std_train_score
22.39822292327881,0.0,0.004503965377807617,0.0,-0.20205058157444,-0.20205058157444,0.0,-0.15462030470371246,-0.15462030470371246,0.0
12.378271341323853,0.0,0.003616809844970703,0.0,-0.19286103546619415,-0.19286103546619415,0.0,-0.1685514897108078,-0.1685514897108078,0.0
7.832916975021362,0.0,0.004542827606201172,0.0,-0.19842883944511414,-0.19842883944511414,0.0,-0.16745097935199738,-0.16745097935199738,0.0
3.9152371883392334,0.0,0.003448963165283203,0.0,-0.19972237944602966,-0.19972237944602966,0.0,-0.18261030316352844,-0.18261030316352844,0.0
5.3492112159729,0.0,0.004369020462036133,0.0,-0.19798609614372253,-0.19798609614372253,0.0,-0.1621042937040329,-0.1621042937040329,0.0
5.553629159927368,0.0,0.0029189586639404297,0.0,-0.1982647180557251,-0.1982647180557251,0.0,-0.1679822951555252,-0.1679822951555252,0.0
5.336395025253296,0.0,0.0027930736541748047,0.0,-0.19288316369056702,-0.19288316369056702,0.0,-0.17754903435707092,-0.17754903435707092,0.0
13.04436993598938,0.0,0.004400014877319336,0.0,-0.19736993312835693,-0.19736993312835693,0.0,-0.16017667949199677,-0.16017667949199677,0.0
4.110569000244141,0.0,0.0028181076049804688,0.0,-0.19669955968856812,-0.19669955968856812,0.0,-0.16562816500663757,-0.16562816500663757,0.0
7.876037120819092,0.0,0.002931833267211914,0.0,-0.19750243425369263,-0.19750243425369263,0.0,-0.16208074986934662,-0.16208074986934662,0.0
